reporting_unit,contest,candidate,votes,county,ctv,municipality
"CITY OF RACINE, WARD 24",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 25",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,C,RACINE
"CITY OF RACINE, WARD 25",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 26",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,C,RACINE
"CITY OF RACINE, WARD 26",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 27",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,C,RACINE
"CITY OF RACINE, WARD 27",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 28",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,C,RACINE
"CITY OF RACINE, WARD 28",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 29",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,C,RACINE
"CITY OF RACINE, WARD 29",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 30",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,C,RACINE
"CITY OF RACINE, WARD 30",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 31",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,C,RACINE
"CITY OF RACINE, WARD 31",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 32",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,C,RACINE
"CITY OF RACINE, WARD 32",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 33",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,C,RACINE
"CITY OF RACINE, WARD 33",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 34",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,C,RACINE
"CITY OF RACINE, WARD 34",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 35",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,C,RACINE
"CITY OF RACINE, WARD 35",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 36",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,C,RACINE
"CITY OF RACINE, WARD 36",COUNTY CLERK (VOTE FOR 1),WRITE-IN,0,RACINE,C,RACINE
"CITY OF RACINE, WARD 37",COUNTY CLERK (VOTE FOR 1),WENDY M. CHRISTENSEN (REP),0,RACINE,C,RACINE
