reporting_unit,contest,candidate,votes,county,ctv,municipality
CITY OF BELOIT WARD 5,VOTERS AND BALLOTS,BALLOTS CAST - TOTAL,303,ROCK,C,BELOIT 
CITY OF BELOIT WARD 6,VOTERS AND BALLOTS,REGISTERED VOTERS - TOTAL,621,ROCK,C,BELOIT 
CITY OF BELOIT WARD 6,VOTERS AND BALLOTS,BALLOTS CAST - TOTAL,216,ROCK,C,BELOIT 
CITY OF BELOIT WARD 7,VOTERS AND BALLOTS,REGISTERED VOTERS - TOTAL,547,ROCK,C,BELOIT 
CITY OF BELOIT WARD 7,VOTERS AND BALLOTS,BALLOTS CAST - TOTAL,159,ROCK,C,BELOIT 
CITY OF BELOIT WARD 8,VOTERS AND BALLOTS,REGISTERED VOTERS - TOTAL,524,ROCK,C,BELOIT 
CITY OF BELOIT WARD 8,VOTERS AND BALLOTS,BALLOTS CAST - TOTAL,176,ROCK,C,BELOIT 
CITY OF BELOIT WARD 9,VOTERS AND BALLOTS,REGISTERED VOTERS - TOTAL,374,ROCK,C,BELOIT 
CITY OF BELOIT WARD 9,VOTERS AND BALLOTS,BALLOTS CAST - TOTAL,355,ROCK,C,BELOIT 
CITY OF BELOIT WARD 10,VOTERS AND BALLOTS,REGISTERED VOTERS - TOTAL,948,ROCK,C,BELOIT 
CITY OF BELOIT WARD 10,VOTERS AND BALLOTS,BALLOTS CAST - TOTAL,860,ROCK,C,BELOIT 
CITY OF BELIOT WARD 11,VOTERS AND BALLOTS,REGISTERED VOTERS - TOTAL,328,ROCK,C,BELOIT 
CITY OF BELIOT WARD 11,VOTERS AND BALLOTS,BALLOTS CAST - TOTAL,289,ROCK,C,BELOIT 
CITY OF BELOIT WARD 12,VOTERS AND BALLOTS,REGISTERED VOTERS - TOTAL,659,ROCK,C,BELOIT 
CITY OF BELOIT WARD 12,VOTERS AND BALLOTS,BALLOTS CAST - TOTAL,683,ROCK,C,BELOIT 
CITY OF BELOIT WARD 13,VOTERS AND BALLOTS,REGISTERED VOTERS - TOTAL,951,ROCK,C,BELOIT 
