contest,candidate,reporting_unit,votes,county,ctv,municipality
PRESIDENT,RW-POTUS,CITY OF TWO RIVERS WARDS 1-5,0,MANITOWOC,C,TWO RIVERS
PRESIDENT,RW-POTUS,CITY OF TWO RIVERS WARDS 6-8,0,MANITOWOC,C,TWO RIVERS
PRESIDENT,RW-MCNEIL,TOWN OF CATO WARDS 1-3,0,MANITOWOC,T,CATO
PRESIDENT,RW-MCNEIL,TOWN OF CENTERVILLE WARD 1,0,MANITOWOC,T,CENTERVILLE
PRESIDENT,RW-MCNEIL,TOWN OF COOPERSTOWN WARDS 1-2,0,MANITOWOC,T,COOPERSTOWN
PRESIDENT,RW-MCNEIL,TOWN OF EATON WARD 1,0,MANITOWOC,T,EATON
PRESIDENT,RW-MCNEIL,TOWN OF FRANKLIN WARDS 1-3,0,MANITOWOC,T,FRANKLIN
PRESIDENT,RW-MCNEIL,TOWN OF GIBSON WARDS 1-2,0,MANITOWOC,T,GIBSON
PRESIDENT,RW-MCNEIL,TOWN OF KOSSUTH WARDS 1-3,0,MANITOWOC,T,KOSSUTH
PRESIDENT,RW-MCNEIL,TOWN OF LIBERTY WARDS 1-2,0,MANITOWOC,T,LIBERTY
PRESIDENT,RW-MCNEIL,TOWN OF MANITOWOC WARDS 1-2,0,MANITOWOC,T,MANITOWOC
PRESIDENT,RW-MCNEIL,TOWN OF MANITOWOC RAPIDS WARDS 1-4,0,MANITOWOC,T,MANITOWOC RAPIDS
PRESIDENT,RW-MCNEIL,TOWN OF MAPLE GROVE WARD 1,0,MANITOWOC,T,MAPLE GROVE
PRESIDENT,RW-MCNEIL,TOWN OF MEEME WARDS 1-2,0,MANITOWOC,T,MEEME
PRESIDENT,RW-MCNEIL,TOWN OF MISHICOT WARDS 1-2,0,MANITOWOC,T,MISHICOT
PRESIDENT,RW-MCNEIL,TOWN OF NEWTON WARDS 1-3,0,MANITOWOC,T,NEWTON
PRESIDENT,RW-MCNEIL,TOWN OF ROCKLAND WARDS 1-2,0,MANITOWOC,T,ROCKLAND
PRESIDENT,RW-MCNEIL,TOWN OF SCHLESWIG WARDS 1-2,0,MANITOWOC,T,SCHLESWIG
PRESIDENT,RW-MCNEIL,TOWN OF TWO CREEKS WARD 1,0,MANITOWOC,T,TWO CREEKS
PRESIDENT,RW-MCNEIL,TOWN OF TWO RIVERS WARDS 1-3,0,MANITOWOC,T,TWO RIVERS
PRESIDENT,RW-MCNEIL,VILLAGE OF CLEVELAND WARDS 1-2,0,MANITOWOC,V,CLEVELAND
PRESIDENT,RW-MCNEIL,VILLAGE OF FRANCIS CREEK WARD 1,0,MANITOWOC,V,FRANCIS CREEK
PRESIDENT,RW-MCNEIL,VILLAGE OF KELLNERSVILLE WARD 1,0,MANITOWOC,V,KELLNERSVILLE
PRESIDENT,RW-MCNEIL,VILLAGE OF MARIBEL WARD 1,0,MANITOWOC,V,MARIBEL
PRESIDENT,RW-MCNEIL,VILLAGE OF MISHICOT WARDS 1-4,0,MANITOWOC,V,MISHICOT
PRESIDENT,RW-MCNEIL,VILLAGE OF REEDSVILLE WARDS 1-2,0,MANITOWOC,V,REEDSVILLE
PRESIDENT,RW-MCNEIL,VILLAGE OF ST NAZIANZ WARD 1,0,MANITOWOC,V,ST NAZIANZ
PRESIDENT,RW-MCNEIL,VILLAGE OF VALDERS WARD 1,0,MANITOWOC,V,VALDERS
PRESIDENT,RW-MCNEIL,VILLAGE OF WHITELAW WARD 1,0,MANITOWOC,V,WHITELAW
PRESIDENT,RW-MCNEIL,"CITY OF KIEL WARDS 1-6,8",0,MANITOWOC,C,KIEL
PRESIDENT,RW-MCNEIL,CITY OF MANITOWOC WARDS 1-2,0,MANITOWOC,C,MANITOWOC
PRESIDENT,RW-MCNEIL,CITY OF MANITOWOC WARDS 3-4,0,MANITOWOC,C,MANITOWOC
PRESIDENT,RW-MCNEIL,CITY OF MANITOWOC WARDS 5-6,0,MANITOWOC,C,MANITOWOC
PRESIDENT,RW-MCNEIL,CITY OF MANITOWOC WARDS 7-8,0,MANITOWOC,C,MANITOWOC
PRESIDENT,RW-MCNEIL,CITY OF MANITOWOC WARDS 9-10,0,MANITOWOC,C,MANITOWOC
PRESIDENT,RW-MCNEIL,CITY OF MANITOWOC WARDS 11-12,0,MANITOWOC,C,MANITOWOC
PRESIDENT,RW-MCNEIL,"CITY OF MANITOWOC WARDS 13-14,23",0,MANITOWOC,C,MANITOWOC
PRESIDENT,RW-MCNEIL,CITY OF MANITOWOC WARDS 15-16,0,MANITOWOC,C,MANITOWOC
PRESIDENT,RW-MCNEIL,"CITY OF MANITOWOC WARDS 17-18,21-22",0,MANITOWOC,C,MANITOWOC
PRESIDENT,RW-MCNEIL,CITY OF MANITOWOC WARDS 19-20,0,MANITOWOC,C,MANITOWOC
PRESIDENT,RW-MCNEIL,CITY OF TWO RIVERS WARDS 1-5,0,MANITOWOC,C,TWO RIVERS
PRESIDENT,RW-MCNEIL,CITY OF TWO RIVERS WARDS 6-8,0,MANITOWOC,C,TWO RIVERS
PRESIDENT,SCATTERING,TOWN OF CATO WARDS 1-3,0,MANITOWOC,T,CATO
PRESIDENT,SCATTERING,TOWN OF CENTERVILLE WARD 1,2,MANITOWOC,T,CENTERVILLE
PRESIDENT,SCATTERING,TOWN OF COOPERSTOWN WARDS 1-2,1,MANITOWOC,T,COOPERSTOWN
PRESIDENT,SCATTERING,TOWN OF EATON WARD 1,1,MANITOWOC,T,EATON
PRESIDENT,SCATTERING,TOWN OF FRANKLIN WARDS 1-3,1,MANITOWOC,T,FRANKLIN
PRESIDENT,SCATTERING,TOWN OF GIBSON WARDS 1-2,0,MANITOWOC,T,GIBSON
PRESIDENT,SCATTERING,TOWN OF KOSSUTH WARDS 1-3,4,MANITOWOC,T,KOSSUTH
PRESIDENT,SCATTERING,TOWN OF LIBERTY WARDS 1-2,2,MANITOWOC,T,LIBERTY
PRESIDENT,SCATTERING,TOWN OF MANITOWOC WARDS 1-2,1,MANITOWOC,T,MANITOWOC
PRESIDENT,SCATTERING,TOWN OF MANITOWOC RAPIDS WARDS 1-4,1,MANITOWOC,T,MANITOWOC RAPIDS
PRESIDENT,SCATTERING,TOWN OF MAPLE GROVE WARD 1,1,MANITOWOC,T,MAPLE GROVE
PRESIDENT,SCATTERING,TOWN OF MEEME WARDS 1-2,2,MANITOWOC,T,MEEME
PRESIDENT,SCATTERING,TOWN OF MISHICOT WARDS 1-2,1,MANITOWOC,T,MISHICOT
PRESIDENT,SCATTERING,TOWN OF NEWTON WARDS 1-3,7,MANITOWOC,T,NEWTON
PRESIDENT,SCATTERING,TOWN OF ROCKLAND WARDS 1-2,0,MANITOWOC,T,ROCKLAND
PRESIDENT,SCATTERING,TOWN OF SCHLESWIG WARDS 1-2,0,MANITOWOC,T,SCHLESWIG
PRESIDENT,SCATTERING,TOWN OF TWO CREEKS WARD 1,0,MANITOWOC,T,TWO CREEKS
PRESIDENT,SCATTERING,TOWN OF TWO RIVERS WARDS 1-3,1,MANITOWOC,T,TWO RIVERS
PRESIDENT,SCATTERING,VILLAGE OF CLEVELAND WARDS 1-2,2,MANITOWOC,V,CLEVELAND
PRESIDENT,SCATTERING,VILLAGE OF FRANCIS CREEK WARD 1,2,MANITOWOC,V,FRANCIS CREEK
PRESIDENT,SCATTERING,VILLAGE OF KELLNERSVILLE WARD 1,0,MANITOWOC,V,KELLNERSVILLE
PRESIDENT,SCATTERING,VILLAGE OF MARIBEL WARD 1,0,MANITOWOC,V,MARIBEL
PRESIDENT,SCATTERING,VILLAGE OF MISHICOT WARDS 1-4,4,MANITOWOC,V,MISHICOT
PRESIDENT,SCATTERING,VILLAGE OF REEDSVILLE WARDS 1-2,0,MANITOWOC,V,REEDSVILLE
PRESIDENT,SCATTERING,VILLAGE OF ST NAZIANZ WARD 1,1,MANITOWOC,V,ST NAZIANZ
PRESIDENT,SCATTERING,VILLAGE OF VALDERS WARD 1,1,MANITOWOC,V,VALDERS
PRESIDENT,SCATTERING,VILLAGE OF WHITELAW WARD 1,1,MANITOWOC,V,WHITELAW
PRESIDENT,SCATTERING,"CITY OF KIEL WARDS 1-6,8",2,MANITOWOC,C,KIEL
PRESIDENT,SCATTERING,CITY OF MANITOWOC WARDS 1-2,3,MANITOWOC,C,MANITOWOC
PRESIDENT,SCATTERING,CITY OF MANITOWOC WARDS 3-4,4,MANITOWOC,C,MANITOWOC
PRESIDENT,SCATTERING,CITY OF MANITOWOC WARDS 5-6,11,MANITOWOC,C,MANITOWOC
PRESIDENT,SCATTERING,CITY OF MANITOWOC WARDS 7-8,2,MANITOWOC,C,MANITOWOC
PRESIDENT,SCATTERING,CITY OF MANITOWOC WARDS 9-10,2,MANITOWOC,C,MANITOWOC
PRESIDENT,SCATTERING,CITY OF MANITOWOC WARDS 11-12,4,MANITOWOC,C,MANITOWOC
PRESIDENT,SCATTERING,"CITY OF MANITOWOC WARDS 13-14,23",2,MANITOWOC,C,MANITOWOC
PRESIDENT,SCATTERING,CITY OF MANITOWOC WARDS 15-16,4,MANITOWOC,C,MANITOWOC
PRESIDENT,SCATTERING,"CITY OF MANITOWOC WARDS 17-18,21-22",2,MANITOWOC,C,MANITOWOC
PRESIDENT,SCATTERING,CITY OF MANITOWOC WARDS 19-20,3,MANITOWOC,C,MANITOWOC
PRESIDENT,SCATTERING,CITY OF TWO RIVERS WARDS 1-5,5,MANITOWOC,C,TWO RIVERS
PRESIDENT,SCATTERING,CITY OF TWO RIVERS WARDS 6-8,4,MANITOWOC,C,TWO RIVERS
SENATOR,BALDWIN,TOWN OF CATO WARDS 1-3,332,MANITOWOC,T,CATO
SENATOR,BALDWIN,TOWN OF CENTERVILLE WARD 1,135,MANITOWOC,T,CENTERVILLE
SENATOR,BALDWIN,TOWN OF COOPERSTOWN WARDS 1-2,219,MANITOWOC,T,COOPERSTOWN
SENATOR,BALDWIN,TOWN OF EATON WARD 1,144,MANITOWOC,T,EATON
SENATOR,BALDWIN,TOWN OF FRANKLIN WARDS 1-3,214,MANITOWOC,T,FRANKLIN
SENATOR,BALDWIN,TOWN OF GIBSON WARDS 1-2,283,MANITOWOC,T,GIBSON
SENATOR,BALDWIN,TOWN OF KOSSUTH WARDS 1-3,433,MANITOWOC,T,KOSSUTH
SENATOR,BALDWIN,TOWN OF LIBERTY WARDS 1-2,211,MANITOWOC,T,LIBERTY
SENATOR,BALDWIN,TOWN OF MANITOWOC WARDS 1-2,246,MANITOWOC,T,MANITOWOC
SENATOR,BALDWIN,TOWN OF MANITOWOC RAPIDS WARDS 1-4,522,MANITOWOC,T,MANITOWOC RAPIDS
SENATOR,BALDWIN,TOWN OF MAPLE GROVE WARD 1,103,MANITOWOC,T,MAPLE GROVE
