municipality,reporting_unit,contest,candidate,votes,county,ctv
MACKFORD,WARD 1,PRESIDENT/VICE PRESIDENT,CHASE RUSSEL OLIVER?MIKE TER MAAT,1,GREEN LAKE,T
MACKFORD,WARD 1,PRESIDENT/VICE PRESIDENT,JILL STEIN/RUDOLPH WARE,1,GREEN LAKE,T
MACKFORD,WARD 1,PRESIDENT/VICE PRESIDENT,CLAUDIA DE LA CRUZ/KARINA GARCIA,5,GREEN LAKE,T
MACKFORD,WARD 1,PRESIDENT/VICE PRESIDENT,CORNEL WEST/MELINA ABDULLAH,0,GREEN LAKE,T
MACKFORD,WARD 1,PRESIDENT/VICE PRESIDENT,"ROBERT F. KENNEDY, JR./NICOLE SHANAHAN",0,GREEN LAKE,T
MACKFORD,WARD 1,PRESIDENT/VICE PRESIDENT,PETER SONSKI/LAUREN ONAK (WRITE IN),0,GREEN LAKE,T
MACKFORD,WARD 1,PRESIDENT/VICE PRESIDENT,CHERUNDA LYNN FOX (WRITE IN),0,GREEN LAKE,T
MACKFORD,WARD 1,PRESIDENT/VICE PRESIDENT,BRIAN KIENITZ (WRITE IN),0,GREEN LAKE,T
MACKFORD,WARD 1,PRESIDENT/VICE PRESIDENT,DOUG JENKINS/KIMBERLY LALONDE (WRITE IN),0,GREEN LAKE,T
MACKFORD,WARD 1,PRESIDENT/VICE PRESIDENT,FUTURE MADAM POTUS/JESSICA KENNEDY (WRITE IN),0,GREEN LAKE,T
MACKFORD,WARD 1,PRESIDENT/VICE PRESIDENT,"ANDRE RAMONE MCNEIL, SR. (WRITE IN)",0,GREEN LAKE,T
MACKFORD,WARD 1,PRESIDENT/VICE PRESIDENT,SCATTERING,0,GREEN LAKE,T
MANCHESTER,WARD 1,PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS/TIM WALZ,92,GREEN LAKE,T
MANCHESTER,WARD 1,PRESIDENT/VICE PRESIDENT,DONALD J. TRUMP/ JD VANCE,317,GREEN LAKE,T
MANCHESTER,WARD 1,PRESIDENT/VICE PRESIDENT,RANDALL TERRY/STEPHEN BRODEN,1,GREEN LAKE,T
MANCHESTER,WARD 1,PRESIDENT/VICE PRESIDENT,CHASE RUSSEL OLIVER?MIKE TER MAAT,0,GREEN LAKE,T
MANCHESTER,WARD 1,PRESIDENT/VICE PRESIDENT,JILL STEIN/RUDOLPH WARE,1,GREEN LAKE,T
MANCHESTER,WARD 1,PRESIDENT/VICE PRESIDENT,CLAUDIA DE LA CRUZ/KARINA GARCIA,0,GREEN LAKE,T
MANCHESTER,WARD 1,PRESIDENT/VICE PRESIDENT,CORNEL WEST/MELINA ABDULLAH,0,GREEN LAKE,T
MANCHESTER,WARD 1,PRESIDENT/VICE PRESIDENT,"ROBERT F. KENNEDY, JR./NICOLE SHANAHAN",2,GREEN LAKE,T
MANCHESTER,WARD 1,PRESIDENT/VICE PRESIDENT,PETER SONSKI/LAUREN ONAK (WRITE IN),0,GREEN LAKE,T
MANCHESTER,WARD 1,PRESIDENT/VICE PRESIDENT,CHERUNDA LYNN FOX (WRITE IN),0,GREEN LAKE,T
MANCHESTER,WARD 1,PRESIDENT/VICE PRESIDENT,BRIAN KIENITZ (WRITE IN),0,GREEN LAKE,T
MANCHESTER,WARD 1,PRESIDENT/VICE PRESIDENT,DOUG JENKINS/KIMBERLY LALONDE (WRITE IN),0,GREEN LAKE,T
MANCHESTER,WARD 1,PRESIDENT/VICE PRESIDENT,FUTURE MADAM POTUS/JESSICA KENNEDY (WRITE IN),0,GREEN LAKE,T
MANCHESTER,WARD 1,PRESIDENT/VICE PRESIDENT,"ANDRE RAMONE MCNEIL, SR. (WRITE IN)",0,GREEN LAKE,T
MANCHESTER,WARD 1,PRESIDENT/VICE PRESIDENT,SCATTERING,0,GREEN LAKE,T
MARQUETTE,WARD 1,PRESIDENT/VICE PRESIDENT,KAMALA D. HARRIS/TIM WALZ,82,GREEN LAKE,T
MARQUETTE,WARD 1,PRESIDENT/VICE PRESIDENT,DONALD J. TRUMP/ JD VANCE,266,GREEN LAKE,T
MARQUETTE,WARD 1,PRESIDENT/VICE PRESIDENT,RANDALL TERRY/STEPHEN BRODEN,1,GREEN LAKE,T
MARQUETTE,WARD 1,PRESIDENT/VICE PRESIDENT,CHASE RUSSEL OLIVER?MIKE TER MAAT,1,GREEN LAKE,T
