reporting_unit,contest,candidate,votes,county,ctv,municipality
TOWN OF FRANKFORT,PRESIDENT_NA,KAMALA HARRIS / TIM WALZ (DEM),72,PEPIN,T,FRANKFORT
TOWN OF FRANKFORT,PRESIDENT_NA,DONALD TRUMP / JD VANCE (REP),118,PEPIN,T,FRANKFORT
TOWN OF FRANKFORT,PRESIDENT_NA,RANDALL TERRY / STEPHEN BRODEN (CONSTITUTION),0,PEPIN,T,FRANKFORT
TOWN OF FRANKFORT,PRESIDENT_NA,CHASE OLIVER / MIKE TER MAAT (LIBERTARIAN),1,PEPIN,T,FRANKFORT
TOWN OF FRANKFORT,PRESIDENT_NA,JILL STEIN / RUDOLPH WARE (WI GREEN),0,PEPIN,T,FRANKFORT
TOWN OF FRANKFORT,PRESIDENT_NA,CAUDIA DE LA CRUZ / KARINA GARCIA (SOC / LIB),0,PEPIN,T,FRANKFORT
TOWN OF FRANKFORT,PRESIDENT_NA,CORNEL WEST / MELINA ABDULA (JUSTICE FOR ALL),0,PEPIN,T,FRANKFORT
TOWN OF FRANKFORT,PRESIDENT_NA,ROBERT KENNEDY / NICOLE SHANAHAN (WE THE PPLE),1,PEPIN,T,FRANKFORT
TOWN OF FRANKFORT,PRESIDENT_REGISTERED WRITE-INS,PETER SONSKI/LAUREN ONAK (IND),0,PEPIN,T,FRANKFORT
TOWN OF FRANKFORT,PRESIDENT_NA,CHERUNDA FOX (IND),0,PEPIN,T,FRANKFORT
TOWN OF FRANKFORT,PRESIDENT_NA,BRIAN KIENITZ (IND),0,PEPIN,T,FRANKFORT
TOWN OF FRANKFORT,PRESIDENT_NA,DOUG JENKINS / KIMBERLY LALONDE (IND),0,PEPIN,T,FRANKFORT
TOWN OF FRANKFORT,PRESIDENT_NA,FUTURE MADAME POTUS / JESSICA KENNEDY (IND),0,PEPIN,T,FRANKFORT
TOWN OF FRANKFORT,PRESIDENT_NA,ANDRE MCNEIL (IND),0,PEPIN,T,FRANKFORT
TOWN OF FRANKFORT,UNITED STATES SENATOR_NA,TAMMY BALDWIN (DEM),73,PEPIN,T,FRANKFORT
TOWN OF FRANKFORT,UNITED STATES SENATOR_NA,ERIC HOVDE (REP),115,PEPIN,T,FRANKFORT
TOWN OF FRANKFORT,UNITED STATES SENATOR_NA,PHIL ANDERSON (DISRUPT THE CORRUPTION),1,PEPIN,T,FRANKFORT
TOWN OF FRANKFORT,UNITED STATES SENATOR_NA,THOMAS LEAGER (AMERICA FIRST),2,PEPIN,T,FRANKFORT
TOWN OF FRANKFORT,UNITED STATES SENATOR_NA,JOHN SCHIESS (REGISTERED WRITE-IN) (IND),0,PEPIN,T,FRANKFORT
TOWN OF FRANKFORT,REP. IN CONGRESS DISTRICT 3_NA,REBECCA COOKE (DEM),79,PEPIN,T,FRANKFORT
TOWN OF FRANKFORT,REP. IN CONGRESS DISTRICT 3_NA,DERRICK VAN ORDEN (REP),110,PEPIN,T,FRANKFORT
TOWN OF FRANKFORT,STATE SENATOR DISTRICT 10_NA,PAUL HAMBLETON (DEM),69,PEPIN,T,FRANKFORT
TOWN OF FRANKFORT,STATE SENATOR DISTRICT 10_NA,ROB STAFSHOLT (REP),114,PEPIN,T,FRANKFORT
TOWN OF FRANKFORT,ASSEMBLY REP DISTRICT 29_NA,TERRY SCHOONOVER (DEM),69,PEPIN,T,FRANKFORT
TOWN OF FRANKFORT,ASSEMBLY REP DISTRICT 29_NA,TREIG PRONSHINSKE (REP),114,PEPIN,T,FRANKFORT
TOWN OF FRANKFORT,DISTRICT ATTORNEY_NA,JON D. SEIFERT (DEM),145,PEPIN,T,FRANKFORT
TOWN OF FRANKFORT,COUNTY CLERK_NA,AUDREY BAUER (REP),170,PEPIN,T,FRANKFORT
TOWN OF FRANKFORT,TREASURER_NA,PATRICIA A. SCHARR (REP),166,PEPIN,T,FRANKFORT
TOWN OF FRANKFORT,REGISTER OF DEEDS_NA,LISA TRAUN (REP),100,PEPIN,T,FRANKFORT
TOWN OF FRANKFORT,REGISTER OF DEEDS_NA,DEBRA FISHER (IND),82,PEPIN,T,FRANKFORT
TOWN OF FRANKFORT,STATE REFERENDUM_NA,YES,141,PEPIN,T,FRANKFORT
TOWN OF FRANKFORT,STATE REFERENDUM_NA,NO,45,PEPIN,T,FRANKFORT
TOWN OF LIMA,PRESIDENT_NA,KAMALA HARRIS / TIM WALZ (DEM),106,PEPIN,T,LIMA
TOWN OF LIMA,PRESIDENT_NA,DONALD TRUMP / JD VANCE (REP),246,PEPIN,T,LIMA
TOWN OF LIMA,PRESIDENT_NA,RANDALL TERRY / STEPHEN BRODEN (CONSTITUTION),0,PEPIN,T,LIMA
TOWN OF LIMA,PRESIDENT_NA,CHASE OLIVER / MIKE TER MAAT (LIBERTARIAN),0,PEPIN,T,LIMA
TOWN OF LIMA,PRESIDENT_NA,JILL STEIN / RUDOLPH WARE (WI GREEN),1,PEPIN,T,LIMA
TOWN OF LIMA,PRESIDENT_NA,CAUDIA DE LA CRUZ / KARINA GARCIA (SOC / LIB),0,PEPIN,T,LIMA
TOWN OF LIMA,PRESIDENT_NA,CORNEL WEST / MELINA ABDULA (JUSTICE FOR ALL),0,PEPIN,T,LIMA
TOWN OF LIMA,PRESIDENT_NA,ROBERT KENNEDY / NICOLE SHANAHAN (WE THE PPLE),0,PEPIN,T,LIMA
TOWN OF LIMA,PRESIDENT_REGISTERED WRITE-INS,PETER SONSKI/LAUREN ONAK (IND),0,PEPIN,T,LIMA
TOWN OF LIMA,PRESIDENT_NA,CHERUNDA FOX (IND),0,PEPIN,T,LIMA
TOWN OF LIMA,PRESIDENT_NA,BRIAN KIENITZ (IND),0,PEPIN,T,LIMA
TOWN OF LIMA,PRESIDENT_NA,DOUG JENKINS / KIMBERLY LALONDE (IND),0,PEPIN,T,LIMA
TOWN OF LIMA,PRESIDENT_NA,FUTURE MADAME POTUS / JESSICA KENNEDY (IND),0,PEPIN,T,LIMA
TOWN OF LIMA,PRESIDENT_NA,ANDRE MCNEIL (IND),0,PEPIN,T,LIMA
TOWN OF LIMA,UNITED STATES SENATOR_NA,TAMMY BALDWIN (DEM),119,PEPIN,T,LIMA
TOWN OF LIMA,UNITED STATES SENATOR_NA,ERIC HOVDE (REP),224,PEPIN,T,LIMA
TOWN OF LIMA,UNITED STATES SENATOR_NA,PHIL ANDERSON (DISRUPT THE CORRUPTION),5,PEPIN,T,LIMA
TOWN OF LIMA,UNITED STATES SENATOR_NA,THOMAS LEAGER (AMERICA FIRST),2,PEPIN,T,LIMA
TOWN OF LIMA,UNITED STATES SENATOR_NA,JOHN SCHIESS (REGISTERED WRITE-IN) (IND),0,PEPIN,T,LIMA
TOWN OF LIMA,REP. IN CONGRESS DISTRICT 3_NA,REBECCA COOKE (DEM),122,PEPIN,T,LIMA
TOWN OF LIMA,REP. IN CONGRESS DISTRICT 3_NA,DERRICK VAN ORDEN (REP),230,PEPIN,T,LIMA
TOWN OF LIMA,STATE SENATOR DISTRICT 10_NA,PAUL HAMBLETON (DEM),104,PEPIN,T,LIMA
TOWN OF LIMA,STATE SENATOR DISTRICT 10_NA,ROB STAFSHOLT (REP),243,PEPIN,T,LIMA
