reporting_unit,contest,candidate,votes,county,ctv,municipality
TOWN OF ONALASKA WARDS 1-4,UNITED STATES SENATOR,DEM TAMMYBALDWIN,827,LA CROSSE,T,ONALASKA
TOWN OF ONALASKA WARDS 1-4,UNITED STATES SENATOR,REP ERIC HOVDE,1056,LA CROSSE,T,ONALASKA
TOWN OF ONALASKA WARDS 1-4,UNITED STATES SENATOR,IND PHIL ANDERSON,18,LA CROSSE,T,ONALASKA
TOWN OF ONALASKA WARDS 1-4,UNITED STATES SENATOR,IND THOMASLEAGER,9,LA CROSSE,T,ONALASKA
TOWN OF ONALASKA WARDS 1-4,UNITED STATES SENATOR,WRITE-IN TOTALS,0,LA CROSSE,T,ONALASKA
TOWN OF ONALASKA WARDS 1-4,REP IN CONGRESS DISTRICT 3,DEM REBECCACOOKE,845,LA CROSSE,T,ONALASKA
TOWN OF ONALASKA WARDS 1-4,REP IN CONGRESS DISTRICT 3,REP DERRICK VAN ORDEN,1052,LA CROSSE,T,ONALASKA
TOWN OF ONALASKA WARDS 1-4,REP IN CONGRESS DISTRICT 3,WRITE-IN TOTALS,0,LA CROSSE,T,ONALASKA
TOWN OF ONALASKA WARDS 5-8,UNITED STATES SENATOR,DEM TAMMYBALDWIN,882,LA CROSSE,T,ONALASKA
TOWN OF ONALASKA WARDS 5-8,UNITED STATES SENATOR,REP ERIC HOVDE,952,LA CROSSE,T,ONALASKA
TOWN OF ONALASKA WARDS 5-8,UNITED STATES SENATOR,IND PHIL ANDERSON,34,LA CROSSE,T,ONALASKA
TOWN OF ONALASKA WARDS 5-8,UNITED STATES SENATOR,IND THOMASLEAGER,18,LA CROSSE,T,ONALASKA
TOWN OF ONALASKA WARDS 5-8,UNITED STATES SENATOR,WRITE-IN TOTALS,0,LA CROSSE,T,ONALASKA
TOWN OF ONALASKA WARDS 5-8,REP IN CONGRESS DISTRICT 3,DEM REBECCACOOKE,913,LA CROSSE,T,ONALASKA
TOWN OF ONALASKA WARDS 5-8,REP IN CONGRESS DISTRICT 3,REP DERRICK VAN ORDEN,953,LA CROSSE,T,ONALASKA
TOWN OF ONALASKA WARDS 5-8,REP IN CONGRESS DISTRICT 3,WRITE-IN TOTALS,0,LA CROSSE,T,ONALASKA
TOWN OF SHELBY,UNITED STATES SENATOR,DEM TAMMYBALDWIN,1823,LA CROSSE,T,SHELBY
TOWN OF SHELBY,UNITED STATES SENATOR,REP ERIC HOVDE,1313,LA CROSSE,T,SHELBY
TOWN OF SHELBY,UNITED STATES SENATOR,IND PHIL ANDERSON,34,LA CROSSE,T,SHELBY
TOWN OF SHELBY,UNITED STATES SENATOR,IND THOMASLEAGER,25,LA CROSSE,T,SHELBY
TOWN OF SHELBY,UNITED STATES SENATOR,WRITE-IN TOTALS,0,LA CROSSE,T,SHELBY
TOWN OF SHELBY,REP IN CONGRESS DISTRICT 3,DEM REBECCACOOKE,1851,LA CROSSE,T,SHELBY
TOWN OF SHELBY,REP IN CONGRESS DISTRICT 3,REP DERRICK VAN ORDEN,1330,LA CROSSE,T,SHELBY
TOWN OF SHELBY,REP IN CONGRESS DISTRICT 3,WRITE-IN TOTALS,0,LA CROSSE,T,SHELBY
TOWN OF WASHINGTON,UNITED STATES SENATOR,DEM TAMMYBALDWIN,142,LA CROSSE,T,WASHINGTON
TOWN OF WASHINGTON,UNITED STATES SENATOR,REP ERIC HOVDE,165,LA CROSSE,T,WASHINGTON
TOWN OF WASHINGTON,UNITED STATES SENATOR,IND PHIL ANDERSON,5,LA CROSSE,T,WASHINGTON
TOWN OF WASHINGTON,UNITED STATES SENATOR,IND THOMASLEAGER,2,LA CROSSE,T,WASHINGTON
TOWN OF WASHINGTON,UNITED STATES SENATOR,WRITE-IN TOTALS,0,LA CROSSE,T,WASHINGTON
TOWN OF WASHINGTON,REP IN CONGRESS DISTRICT 3,DEM REBECCACOOKE,157,LA CROSSE,T,WASHINGTON
TOWN OF WASHINGTON,REP IN CONGRESS DISTRICT 3,REP DERRICK VAN ORDEN,154,LA CROSSE,T,WASHINGTON
TOWN OF WASHINGTON,REP IN CONGRESS DISTRICT 3,WRITE-IN TOTALS,0,LA CROSSE,T,WASHINGTON
VILLAGE OF BANGOR,UNITED STATES SENATOR,DEM TAMMYBALDWIN,414,LA CROSSE,V,BANGOR
VILLAGE OF BANGOR,UNITED STATES SENATOR,REP ERIC HOVDE,462,LA CROSSE,V,BANGOR
VILLAGE OF BANGOR,UNITED STATES SENATOR,IND PHIL ANDERSON,11,LA CROSSE,V,BANGOR
VILLAGE OF BANGOR,UNITED STATES SENATOR,IND THOMASLEAGER,9,LA CROSSE,V,BANGOR
VILLAGE OF BANGOR,UNITED STATES SENATOR,WRITE-IN TOTALS,0,LA CROSSE,V,BANGOR
VILLAGE OF BANGOR,REP IN CONGRESS DISTRICT 3,DEM REBECCACOOKE,439,LA CROSSE,V,BANGOR
VILLAGE OF BANGOR,REP IN CONGRESS DISTRICT 3,REP DERRICK VAN ORDEN,455,LA CROSSE,V,BANGOR
VILLAGE OF BANGOR,REP IN CONGRESS DISTRICT 3,WRITE-IN TOTALS,0,LA CROSSE,V,BANGOR
VILLAGE OF HOLMEN WARDS 1-,UNITED STATES SENATOR,DEM TAMMYBALDWIN,1683,LA CROSSE,V,HOLMEN
VILLAGE OF HOLMEN WARDS 1-,UNITED STATES SENATOR,REP ERIC HOVDE,1578,LA CROSSE,V,HOLMEN
VILLAGE OF HOLMEN WARDS 1-,UNITED STATES SENATOR,IND PHIL ANDERSON,35,LA CROSSE,V,HOLMEN
VILLAGE OF HOLMEN WARDS 1-,UNITED STATES SENATOR,IND THOMASLEAGER,27,LA CROSSE,V,HOLMEN
VILLAGE OF HOLMEN WARDS 1-,UNITED STATES SENATOR,WRITE-IN TOTALS,0,LA CROSSE,V,HOLMEN
VILLAGE OF HOLMEN WARDS 1-,REP IN CONGRESS DISTRICT 3,DEM REBECCACOOKE,1718,LA CROSSE,V,HOLMEN
VILLAGE OF HOLMEN WARDS 1-,REP IN CONGRESS DISTRICT 3,REP DERRICK VAN ORDEN,1597,LA CROSSE,V,HOLMEN
VILLAGE OF HOLMEN WARDS 1-,REP IN CONGRESS DISTRICT 3,WRITE-IN TOTALS,0,LA CROSSE,V,HOLMEN
VILLAGE OF HOLMEN WARDS 6-11,UNITED STATES SENATOR,DEM TAMMYBALDWIN,1880,LA CROSSE,V,HOLMEN
VILLAGE OF HOLMEN WARDS 6-11,UNITED STATES SENATOR,REP ERIC HOVDE,1519,LA CROSSE,V,HOLMEN
VILLAGE OF HOLMEN WARDS 6-11,UNITED STATES SENATOR,IND PHIL ANDERSON,38,LA CROSSE,V,HOLMEN
VILLAGE OF HOLMEN WARDS 6-11,UNITED STATES SENATOR,IND THOMASLEAGER,40,LA CROSSE,V,HOLMEN
VILLAGE OF HOLMEN WARDS 6-11,UNITED STATES SENATOR,WRITE-IN TOTALS,0,LA CROSSE,V,HOLMEN
VILLAGE OF HOLMEN WARDS 6-11,REP IN CONGRESS DISTRICT 3,DEM REBECCACOOKE,1942,LA CROSSE,V,HOLMEN
VILLAGE OF HOLMEN WARDS 6-11,REP IN CONGRESS DISTRICT 3,REP DERRICK VAN ORDEN,1534,LA CROSSE,V,HOLMEN
VILLAGE OF HOLMEN WARDS 6-11,REP IN CONGRESS DISTRICT 3,WRITE-IN TOTALS,0,LA CROSSE,V,HOLMEN
VILLAGE OF ROCKLAND,UNITED STATES SENATOR,DEM TAMMYBALDWIN,180,LA CROSSE,V,ROCKLAND
VILLAGE OF ROCKLAND,UNITED STATES SENATOR,REP ERIC HOVDE,228,LA CROSSE,V,ROCKLAND
VILLAGE OF ROCKLAND,UNITED STATES SENATOR,IND PHIL ANDERSON,10,LA CROSSE,V,ROCKLAND
VILLAGE OF ROCKLAND,UNITED STATES SENATOR,IND THOMASLEAGER,6,LA CROSSE,V,ROCKLAND
VILLAGE OF ROCKLAND,UNITED STATES SENATOR,WRITE-IN TOTALS,0,LA CROSSE,V,ROCKLAND
VILLAGE OF ROCKLAND,REP IN CONGRESS DISTRICT 3,DEM REBECCACOOKE,203,LA CROSSE,V,ROCKLAND
VILLAGE OF ROCKLAND,REP IN CONGRESS DISTRICT 3,REP DERRICK VAN ORDEN,223,LA CROSSE,V,ROCKLAND
VILLAGE OF ROCKLAND,REP IN CONGRESS DISTRICT 3,WRITE-IN TOTALS,0,LA CROSSE,V,ROCKLAND
VILLAGE OF WEST SALEM,UNITED STATES SENATOR,DEM TAMMYBALDWIN,1493,LA CROSSE,V,WEST SALEM
VILLAGE OF WEST SALEM,UNITED STATES SENATOR,REP ERIC HOVDE,1550,LA CROSSE,V,WEST SALEM
VILLAGE OF WEST SALEM,UNITED STATES SENATOR,IND PHIL ANDERSON,54,LA CROSSE,V,WEST SALEM
VILLAGE OF WEST SALEM,UNITED STATES SENATOR,IND THOMASLEAGER,35,LA CROSSE,V,WEST SALEM
VILLAGE OF WEST SALEM,UNITED STATES SENATOR,WRITE-IN TOTALS,0,LA CROSSE,V,WEST SALEM
