rep_unit_2024,pop_per_sq_mi,pop,pop_hisp,pop_white,pop_black,pop_asian,pop_aian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_asian,vap_aian,vap_nhpi,vap_other,vap_two
BARRON - TOWN OF RICE LAKE WARDS 1-4,108.80959655868423,2792,58,2616,28,15,37,1,30,7,2238,40,2127,10,13,25,0,20,3
BARRON - TOWN OF SIOUX CREEK WARD 1,19.16127536256065,667,5,632,8,2,11,1,8,0,507,5,483,0,2,8,1,8,0
BARRON - TOWN OF STANFOLD WARD 1,19.573111879011925,701,46,624,2,6,11,0,11,1,568,30,518,2,4,7,0,7,0
BARRON - TOWN OF STANLEY WARDS 1-4,83.24595666331848,2555,38,2409,12,30,33,1,26,6,1975,23,1880,5,22,19,0,20,6
BARRON - TOWN OF SUMNER WARD 1,19.633772518402075,699,12,656,2,9,6,4,9,1,530,4,507,0,6,4,2,6,1
BARRON - TOWN OF TURTLE LAKE WARD 1,18.231226832351567,640,2,613,2,6,6,0,10,1,476,2,463,2,2,1,0,5,1
BARRON - TOWN OF VANCE CREEK WARD 1,19.47597371850384,689,5,656,1,5,14,0,7,1,518,4,490,1,4,11,0,7,1
BARRON - VILLAGE OF ALMENA WARD 1,625.0175567643171,705,32,634,3,0,21,0,12,3,545,22,496,3,0,12,0,12,0
BARRON - VILLAGE OF CAMERON WARDS 1-3,750.871471575096,1887,59,1687,25,37,42,2,34,1,1407,30,1272,13,26,34,2,29,1
BARRON - VILLAGE OF DALLAS WARD 1,248.66403889113965,359,9,319,5,7,19,0,0,0,277,5,249,3,7,13,0,0,0
BARRON - VILLAGE OF HAUGEN WARD 1,540.8382957645964,266,9,241,2,3,9,0,1,1,213,5,201,1,1,5,0,0,0
BARRON - VILLAGE OF NEW AUBURN WARD 2,91.88236409267554,25,3,18,1,2,0,0,0,1,18,1,14,1,2,0,0,0,0
BARRON - VILLAGE OF PRAIRIE FARM WARD 1,526.8893505183763,494,17,445,5,1,19,1,5,1,382,7,353,4,1,10,1,5,1
BARRON - VILLAGE OF TURTLE LAKE WARD 1,427.8084453786128,959,23,835,7,18,64,1,7,4,730,14,645,7,15,42,0,5,2
BAYFIELD - CITY OF ASHLAND WARD 22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BAYFIELD - CITY OF BAYFIELD WARDS 1-4,683.2989389189053,584,9,467,5,5,94,0,3,1,517,9,420,1,4,79,0,3,1
BAYFIELD - CITY OF WASHBURN WARDS 1-5,527.8231031043474,2051,60,1755,20,9,175,2,28,2,1668,48,1461,11,7,122,2,15,2
BAYFIELD - TOWN OF BARKSDALE WARDS 1-2,13.48904589475803,745,11,677,6,5,31,0,14,1,629,11,578,1,5,22,0,12,0
BAYFIELD - TOWN OF BARNES WARD 1,6.99455053009089,823,3,787,1,1,19,0,12,0,764,1,736,0,1,15,0,11,0
BAYFIELD - TOWN OF BAYFIELD WARDS 1-2,8.7987588570823,782,10,606,7,6,134,1,15,3,686,9,553,3,4,100,1,15,1
BAYFIELD - TOWN OF BAYVIEW WARD 1,12.30758444065844,512,3,440,3,4,54,0,8,0,417,2,372,2,2,31,0,8,0
BAYFIELD - TOWN OF BELL WARD 1,5.9408098414029995,355,7,332,0,1,12,0,2,1,333,6,317,0,1,6,0,2,1
BAYFIELD - TOWN OF CABLE WARD 1,12.394663694605438,853,6,807,2,2,17,1,16,2,741,2,706,2,1,13,1,16,0
BAYFIELD - TOWN OF CLOVER WARD 1,4.4211721986533155,261,2,245,0,0,4,1,9,0,238,1,223,0,0,4,1,9,0
BAYFIELD - TOWN OF DELTA WARD 1,4.552230638507557,315,4,291,0,4,8,0,7,1,274,2,260,0,2,4,0,6,0
BAYFIELD - TOWN OF DRUMMOND WARDS 1-2,3.9763547829837815,544,13,503,2,0,22,1,1,2,439,4,420,2,0,11,0,0,2
BAYFIELD - TOWN OF EILEEN WARDS 1-2,20.74137580423319,725,4,652,5,9,49,0,5,1,576,3,523,4,7,35,0,3,1
BAYFIELD - TOWN OF GRAND VIEW WARD 1,4.893315817133335,508,3,476,3,1,21,0,4,0,445,2,421,3,1,14,0,4,0
BAYFIELD - TOWN OF HUGHES WARD 1,9.052287018827956,471,10,421,2,8,18,0,12,0,391,3,362,0,3,13,0,10,0
BAYFIELD - TOWN OF IRON RIVER WARDS 1-2,38.88424108435245,1240,13,1132,5,5,56,0,21,8,1027,5,956,0,4,41,0,21,0
BAYFIELD - TOWN OF KELLY WARD 1,11.976694273383272,436,7,384,3,4,31,0,6,1,332,4,297,3,4,20,0,4,0
BAYFIELD - TOWN OF KEYSTONE WARD 1,10.548142587342372,373,3,341,1,0,19,0,8,1,301,3,281,0,0,9,0,8,0
BAYFIELD - TOWN OF LINCOLN WARD 1,7.08438139269139,251,2,238,2,1,5,0,3,0,217,2,207,2,0,5,0,1,0
BAYFIELD - TOWN OF MASON WARD 1,8.115932845188025,289,3,258,1,2,18,0,7,0,230,3,202,1,2,17,0,5,0
BAYFIELD - TOWN OF NAMAKAGON WARD 1,4.86866961026366,316,2,306,1,1,2,0,4,0,303,1,294,1,1,2,0,4,0
BAYFIELD - TOWN OF ORIENTA WARD 1,3.043272032189189,164,6,149,0,0,6,0,1,2,129,3,121,0,0,4,0,0,1
BAYFIELD - TOWN OF OULU WARD 1,15.820739317250782,560,9,527,2,0,16,0,6,0,445,6,423,2,0,12,0,2,0
BAYFIELD - TOWN OF PILSEN WARD 1,6.205620512210148,216,1,205,0,1,7,0,2,0,179,0,175,0,1,3,0,0,0
BAYFIELD - TOWN OF PORT WING WARD 1,8.262254149318508,389,5,345,4,2,22,0,11,0,354,1,319,4,1,19,0,10,0
BAYFIELD - TOWN OF RUSSELL WARDS 1-3,31.24933233417512,1553,75,280,9,7,1163,0,7,12,1101,31,245,7,2,804,0,7,5
BAYFIELD - TOWN OF TRIPP WARD 1,7.059592659246987,244,5,227,1,0,7,2,1,1,190,2,178,0,0,7,1,1,1
BAYFIELD - TOWN OF WASHBURN WARDS 1-2,6.541824835782211,554,3,505,2,3,32,0,9,0,454,0,422,0,2,23,0,7,0
BAYFIELD - VILLAGE OF MASON WARD 1,134.5434086381083,101,0,87,2,0,12,0,0,0,67,0,54,2,0,11,0,0,0
BROWN - CITY OF DE PERE WARDS 1-5,3392.7245418766497,6172,171,5604,100,97,140,1,51,8,4855,120,4467,64,71,87,1,41,4
BROWN - CITY OF DE PERE WARDS 10-16,3084.316305102653,6457,425,5264,289,176,205,28,53,17,5399,332,4503,199,144,137,28,46,10
BROWN - CITY OF DE PERE WARDS 17-23,1439.0344800181035,6497,175,5755,113,227,156,3,60,8,4854,102,4397,62,135,108,2,43,5
BROWN - CITY OF DE PERE WARDS 6-9,1729.1762338100375,6112,285,5312,127,136,163,5,60,24,4574,158,4088,57,85,127,4,48,7
BROWN - CITY OF GREEN BAY WARD 1,12.961617848678728,21,5,14,0,0,1,0,0,1,19,4,14,0,0,1,0,0,0
BROWN - CITY OF GREEN BAY WARD 10,4503.800225232778,2856,1065,1341,190,154,68,3,17,18,2032,638,1130,116,91,38,3,10,6
BROWN - CITY OF GREEN BAY WARD 11,5764.65055495957,1396,320,866,35,128,28,0,13,6,1146,216,786,28,81,17,0,13,5
BROWN - CITY OF GREEN BAY WARD 11A,2320.9713692020177,890,249,493,12,88,27,2,10,9,649,142,422,4,47,17,1,10,6
BROWN - CITY OF GREEN BAY WARD 12,3259.587157467459,1422,609,564,59,133,41,0,6,10,1002,359,470,36,93,31,0,4,9
BROWN - CITY OF GREEN BAY WARD 12A,4235.94908319395,863,437,153,131,87,41,0,2,12,515,235,124,84,49,19,0,0,4
BROWN - CITY OF GREEN BAY WARD 13,5425.462419772177,2759,1046,1348,127,150,62,5,13,8,2034,647,1167,57,98,47,5,6,7
BROWN - CITY OF GREEN BAY WARD 14,5036.748379405043,3147,697,1967,191,113,135,0,30,14,2299,415,1594,94,72,103,0,12,9
BROWN - CITY OF GREEN BAY WARD 15,5349.896759390636,2968,327,2085,210,92,190,0,46,18,2225,214,1670,132,57,124,0,26,2
BROWN - CITY OF GREEN BAY WARD 16,2171.062178466592,1962,250,1523,34,96,39,1,15,4,1515,133,1258,27,57,27,0,12,1
BROWN - CITY OF GREEN BAY WARD 17,3103.8902479348453,2307,772,1137,229,77,73,2,9,8,1690,489,974,126,42,47,2,6,4
BROWN - CITY OF GREEN BAY WARD 18,4876.540883733784,2373,972,1016,159,128,70,3,17,8,1824,622,940,98,99,48,2,14,1
BROWN - CITY OF GREEN BAY WARD 19,4755.760823140258,2303,694,1285,79,154,56,7,22,6,1726,434,1082,51,83,49,4,19,4
BROWN - CITY OF GREEN BAY WARD 2,920.9200153495714,2500,129,2185,51,73,31,1,25,5,1750,60,1575,23,49,25,0,17,1
BROWN - CITY OF GREEN BAY WARD 20,2163.438094723671,3188,895,1695,285,218,66,3,19,7,2533,560,1585,159,149,60,2,17,1
BROWN - CITY OF GREEN BAY WARD 21,4291.219962694379,2728,1219,1095,145,103,135,6,15,10,1999,785,938,85,80,94,3,10,4
BROWN - CITY OF GREEN BAY WARD 22,2303.777842732845,3099,1463,1007,329,136,134,0,13,17,2074,893,839,155,85,87,0,11,4
BROWN - CITY OF GREEN BAY WARD 23,1097.42610631279,876,393,281,129,14,42,0,10,7,575,244,218,66,12,27,0,3,5
BROWN - CITY OF GREEN BAY WARD 24,4613.6746803114265,1071,441,424,101,34,51,2,13,5,717,259,339,50,23,34,0,11,1
BROWN - CITY OF GREEN BAY WARD 25,6279.526439699905,2637,665,1209,421,106,177,0,28,31,1914,428,1020,241,72,130,0,21,2
BROWN - CITY OF GREEN BAY WARD 26,2121.1583787082145,2524,390,1453,307,164,168,0,9,33,1798,212,1188,155,106,116,0,2,19
BROWN - CITY OF GREEN BAY WARD 27,7000.681219376188,1813,157,1335,111,71,115,2,11,11,1381,74,1105,57,49,80,2,9,5
BROWN - CITY OF GREEN BAY WARD 28,4266.847559788961,2166,212,1560,107,166,87,6,16,12,1739,145,1324,55,120,71,6,13,5
BROWN - CITY OF GREEN BAY WARD 29,6512.766812755845,1947,283,1047,336,106,142,1,20,12,1581,192,946,254,66,105,1,15,2
BROWN - CITY OF GREEN BAY WARD 3,2048.3193687950697,1832,157,1200,391,54,10,0,3,17,1819,153,1195,391,52,9,0,3,16
BROWN - CITY OF GREEN BAY WARD 30,5371.540892373106,870,68,698,27,41,29,2,5,0,680,44,586,10,24,13,0,3,0
BROWN - CITY OF GREEN BAY WARD 31,3920.463133661373,1950,103,1654,48,57,69,0,15,4,1554,59,1368,23,41,52,0,11,0
BROWN - CITY OF GREEN BAY WARD 32,3989.832727770395,2004,84,1666,82,84,69,0,14,5,1618,44,1411,37,66,48,0,10,2
BROWN - CITY OF GREEN BAY WARD 33,2551.928374550178,1062,65,797,90,34,64,1,7,4,951,44,741,63,33,63,1,4,2
BROWN - CITY OF GREEN BAY WARD 34,5929.485762419839,2624,424,1491,314,128,197,2,37,31,1930,229,1254,173,92,133,2,34,13
BROWN - CITY OF GREEN BAY WARD 35,3460.5261199445126,2657,449,1458,312,163,219,6,22,28,1921,267,1203,165,100,159,4,12,11
BROWN - CITY OF GREEN BAY WARD 36,2550.4709365844456,2614,295,1907,194,46,132,5,18,17,1969,175,1569,89,28,79,3,15,11
BROWN - CITY OF GREEN BAY WARD 37,4171.646967862173,2684,248,1944,180,138,141,0,23,10,2034,158,1606,97,66,86,0,20,1
BROWN - CITY OF GREEN BAY WARD 37A,47.28472734122362,72,6,36,3,4,16,0,6,1,42,4,22,3,4,7,0,2,0
BROWN - CITY OF GREEN BAY WARD 38,5426.487623880373,2771,285,2059,140,114,116,10,33,14,2134,161,1721,73,69,75,7,20,8
BROWN - CITY OF GREEN BAY WARD 39,3093.290800161973,1735,180,1216,106,121,78,2,27,5,1331,100,1024,57,81,42,2,22,3
BROWN - CITY OF GREEN BAY WARD 4,2052.246188789972,2637,264,1918,186,74,156,3,18,18,2201,157,1645,166,58,147,3,13,12
BROWN - CITY OF GREEN BAY WARD 40,4896.916525733534,1704,119,1220,136,114,97,0,12,6,1316,75,1030,68,64,63,0,10,6
BROWN - CITY OF GREEN BAY WARD 41,5808.168637063465,2293,406,1284,335,109,137,0,16,6,1798,269,1116,203,86,108,0,15,1
BROWN - CITY OF GREEN BAY WARD 42,4273.714882734413,3607,252,2739,156,264,148,0,26,22,2875,161,2330,73,174,121,0,13,3
BROWN - CITY OF GREEN BAY WARD 43,1600.3277512297047,2278,187,1562,124,75,287,1,25,17,1733,103,1307,76,52,174,1,16,4
