rep_unit_2024,pop_per_sq_mi,pop,pop_hisp,pop_white,pop_black,pop_asian,pop_aian,pop_nhpi,pop_other,pop_two,vap,vap_hisp,vap_white,vap_black,vap_asian,vap_aian,vap_nhpi,vap_other,vap_two
MANITOWOC - TOWN OF MAPLE GROVE WARD 1,21.88715992565706,773,4,747,1,5,7,0,9,0,598,4,580,0,3,7,0,4,0
MANITOWOC - TOWN OF MEEME WARDS 1-2,39.80898043684153,1440,38,1351,7,13,10,0,21,0,1133,18,1086,6,6,9,0,8,0
MANITOWOC - TOWN OF MISHICOT WARDS 1-2,48.42063249142739,1327,39,1249,6,4,15,0,13,1,1041,25,986,5,1,13,0,11,0
MANITOWOC - TOWN OF NEWTON WARDS 1-3,62.18363425040099,2109,41,1987,13,23,28,2,15,0,1747,24,1660,7,18,22,2,14,0
MANITOWOC - TOWN OF ROCKLAND WARDS 1-2,29.10544729392088,995,20,949,2,5,10,1,6,2,766,16,733,0,4,6,1,5,1
MANITOWOC - TOWN OF SCHLESWIG WARDS 1-2,57.89817864315746,1909,34,1829,14,8,18,1,4,1,1559,21,1516,6,2,12,0,1,1
MANITOWOC - TOWN OF TWO CREEKS WARD 1,24.7571544696061,369,10,351,0,0,5,0,3,0,296,4,284,0,0,5,0,3,0
MANITOWOC - TOWN OF TWO RIVERS WARDS 1-3,53.665230174663435,1668,26,1551,13,13,40,0,23,2,1399,10,1322,6,9,32,0,18,2
MANITOWOC - VILLAGE OF CLEVELAND WARDS 1-2,705.3587988991019,1434,197,1164,4,35,17,0,13,4,1083,115,920,2,17,17,0,8,4
MANITOWOC - VILLAGE OF FRANCIS CREEK WARD 1,580.0670921379343,659,16,623,10,1,5,0,2,2,518,10,494,7,1,3,0,1,2
MANITOWOC - VILLAGE OF KELLNERSVILLE WARD 1,402.000308150347,217,4,208,0,1,4,0,0,0,187,3,180,0,0,4,0,0,0
MANITOWOC - VILLAGE OF MARIBEL WARD 1,287.920316035057,336,6,298,5,3,7,0,16,1,268,3,243,4,1,4,0,13,0
MANITOWOC - VILLAGE OF MISHICOT WARDS 1-4,561.6690783481073,1432,38,1354,5,8,8,0,17,2,1125,22,1072,5,5,6,0,14,1
MANITOWOC - VILLAGE OF REEDSVILLE WARDS 1-2,983.8649218501764,1195,107,1035,3,2,33,0,14,1,881,60,787,1,1,21,0,10,1
MANITOWOC - VILLAGE OF ST. NAZIANZ WARD 1,901.5405728184468,714,56,632,2,2,14,0,6,2,558,26,515,2,0,10,0,5,0
MANITOWOC - VILLAGE OF VALDERS WARD 1,665.6322627133987,952,112,800,3,6,22,0,8,1,719,59,637,0,4,17,0,2,0
MANITOWOC - VILLAGE OF WHITELAW WARD 1,1399.5082063601058,737,25,693,8,4,5,0,2,0,571,22,539,0,3,5,0,2,0
MARATHON - CITY OF ABBOTSFORD WARD 1,400.3849380569667,604,317,271,2,8,6,0,0,0,446,203,232,1,5,5,0,0,0
MARATHON - CITY OF COLBY WARD 1,770.5218904938812,677,196,445,4,5,17,1,8,1,479,99,355,0,3,14,0,8,0
"MARATHON - CITY OF MARSHFIELD WARDS 12,16,19",397.61954967609904,810,25,714,31,25,4,0,10,1,696,19,630,20,15,2,0,10,0
"MARATHON - CITY OF MOSINEE WARDS 1-2,6-8",323.0212475083776,2208,61,1993,28,49,54,0,19,4,1675,29,1564,5,27,33,0,15,2
MARATHON - CITY OF MOSINEE WARDS 3-5,2391.4637587657476,2236,43,2115,16,25,26,0,10,1,1758,19,1696,5,21,11,0,6,0
MARATHON - CITY OF SCHOFIELD WARDS 1-4,1267.534966348739,2353,70,2044,45,126,37,7,14,10,1910,36,1720,14,84,34,6,11,5
MARATHON - CITY OF WAUSAU WARD 1,2109.5275974230685,1891,27,1687,39,95,28,2,12,1,1607,18,1476,24,57,21,2,8,1
MARATHON - CITY OF WAUSAU WARD 10,1218.9086739501015,1740,31,1445,27,180,33,1,20,3,1438,20,1244,15,118,24,0,14,3
MARATHON - CITY OF WAUSAU WARD 11,729.2854408498029,1797,82,1513,30,101,30,3,33,5,1417,50,1229,15,75,19,3,23,3
MARATHON - CITY OF WAUSAU WARD 12,4383.973217178136,1541,98,1138,49,182,40,0,33,1,1176,62,936,26,104,28,0,20,0
MARATHON - CITY OF WAUSAU WARD 13,3386.471755338136,1875,77,1433,32,277,40,1,12,3,1440,42,1174,14,160,36,1,11,2
MARATHON - CITY OF WAUSAU WARD 14,4231.429074038473,1570,51,1271,43,165,19,0,15,6,1252,31,1072,22,98,13,0,13,3
MARATHON - CITY OF WAUSAU WARD 15,1258.4067933969902,1908,45,1653,48,105,33,0,19,5,1479,30,1328,18,64,26,0,11,2
MARATHON - CITY OF WAUSAU WARD 16,3141.3519308425316,1688,36,1499,15,97,25,0,10,6,1271,24,1160,2,55,16,0,9,5
MARATHON - CITY OF WAUSAU WARD 17,1607.9027954012045,1837,69,1457,38,231,29,1,9,3,1547,48,1309,26,134,20,1,8,1
MARATHON - CITY OF WAUSAU WARD 18,3196.9231329105996,1940,85,1429,49,307,39,2,29,0,1527,37,1215,26,201,28,2,18,0
MARATHON - CITY OF WAUSAU WARD 19,3888.2387169454287,1818,51,1310,53,367,21,2,10,4,1364,28,1082,32,190,20,0,8,4
MARATHON - CITY OF WAUSAU WARD 2,5361.22351369004,1873,60,1647,39,66,35,2,24,0,1472,33,1329,22,43,27,2,16,0
MARATHON - CITY OF WAUSAU WARD 20,5226.133951301603,1827,119,1269,55,333,37,0,10,4,1391,52,1041,33,221,32,0,8,4
MARATHON - CITY OF WAUSAU WARD 21,3356.9476925961785,1821,92,1272,58,311,49,3,29,7,1371,47,1039,31,194,37,2,20,1
MARATHON - CITY OF WAUSAU WARD 22,2800.3915697941256,1946,72,1276,43,492,38,1,19,5,1502,35,1102,20,297,28,1,16,3
MARATHON - CITY OF WAUSAU WARD 23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MARATHON - CITY OF WAUSAU WARD 24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MARATHON - CITY OF WAUSAU WARD 25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MARATHON - CITY OF WAUSAU WARD 3,1041.667879056355,1775,74,1409,50,197,17,0,19,9,1333,29,1123,24,129,12,0,11,5
MARATHON - CITY OF WAUSAU WARD 4,3253.9308623750085,1862,84,1302,88,336,29,0,20,3,1392,50,1068,48,192,13,0,18,3
MARATHON - CITY OF WAUSAU WARD 5,2853.663268820924,1923,81,1488,69,193,60,4,18,10,1583,52,1287,40,125,51,4,16,8
MARATHON - CITY OF WAUSAU WARD 6,2761.9321371084807,1697,112,1245,124,138,57,1,10,10,1414,74,1108,85,91,46,1,4,5
MARATHON - CITY OF WAUSAU WARD 7,1832.9206675858077,1866,95,1402,53,252,39,2,18,5,1326,53,1054,21,153,22,2,17,4
MARATHON - CITY OF WAUSAU WARD 8,4329.560635166829,2052,150,1315,67,409,61,5,33,12,1559,71,1107,43,264,45,3,17,9
MARATHON - CITY OF WAUSAU WARD 9,895.8528731216,1635,49,1315,27,204,20,0,18,2,1333,35,1140,13,113,14,0,16,2
MARATHON - TOWN OF BERGEN WARD 1,27.593123364036675,740,9,706,0,8,8,1,8,0,599,7,578,0,8,3,0,3,0
MARATHON - TOWN OF BERLIN WARDS 1-2,27.411863022017116,949,16,907,1,6,10,0,5,4,717,13,688,1,1,8,0,4,2
MARATHON - TOWN OF BERN WARD 1,18.07947437423573,614,17,589,2,0,4,0,1,1,403,9,388,1,0,3,0,1,1
MARATHON - TOWN OF BEVENT WARDS 1-2,25.039927172213147,1049,23,996,2,3,8,4,8,5,868,9,837,2,2,4,3,7,4
MARATHON - TOWN OF BRIGHTON WARDS 1-2,18.1723613061046,620,36,566,2,1,9,1,4,1,434,29,397,1,0,1,1,4,1
MARATHON - TOWN OF CASSEL WARD 1,28.50194740654813,934,8,900,1,7,4,0,13,1,688,6,664,0,4,2,0,11,1
MARATHON - TOWN OF CLEVELAND WARDS 1-2,50.40644483171344,1486,16,1419,4,12,14,2,17,2,1116,10,1071,3,4,11,2,13,2
MARATHON - TOWN OF DAY WARDS 1-2,31.771008876288818,1063,12,1033,9,1,3,0,5,0,815,5,796,6,1,2,0,5,0
MARATHON - TOWN OF EASTON WARDS 1-2,26.932806461786647,1148,12,1074,9,13,22,0,18,0,885,6,838,7,8,18,0,8,0
MARATHON - TOWN OF EAU PLEINE WARD 1,23.324872831415455,769,47,704,2,5,4,0,5,2,590,28,551,1,2,2,0,4,2
MARATHON - TOWN OF ELDERON WARD 1,19.660612922274737,679,23,637,1,0,16,1,1,0,553,16,526,0,0,10,1,0,0
MARATHON - TOWN OF EMMET WARDS 1-2,22.77271991549452,905,2,881,2,4,9,0,7,0,711,1,690,2,4,7,0,7,0
MARATHON - TOWN OF FRANKFORT WARD 1,18.14817788459141,635,20,604,2,3,2,0,4,0,469,12,451,1,0,2,0,3,0
MARATHON - TOWN OF FRANZEN WARD 1,15.262398587107166,553,45,480,4,2,13,0,5,4,436,33,386,3,1,8,0,3,2
MARATHON - TOWN OF GREEN VALLEY WARD 1,17.890339176067336,515,7,493,5,1,3,0,6,0,431,7,415,1,1,3,0,4,0
MARATHON - TOWN OF GUENTHER WARD 1,10.342348471884804,358,6,338,1,2,5,1,5,0,281,5,267,1,1,2,0,5,0
MARATHON - TOWN OF HALSEY WARD 1,19.23501071942353,634,10,614,2,2,1,1,3,1,428,6,414,2,0,1,1,3,1
MARATHON - TOWN OF HAMBURG WARD 1,23.49370308326439,827,28,782,3,5,4,0,5,0,671,19,639,3,4,2,0,4,0
MARATHON - TOWN OF HARRISON WARD 1,8.580795168086862,312,1,297,1,0,4,4,5,0,267,1,254,0,0,4,3,5,0
MARATHON - TOWN OF HEWITT WARD 1,14.677887757422669,636,23,595,0,13,4,0,0,1,494,19,463,0,7,4,0,0,1
MARATHON - TOWN OF HOLTON WARD 1,24.983472693863707,859,36,813,1,1,4,0,3,1,629,25,599,0,0,2,0,2,1
MARATHON - TOWN OF HULL WARD 1,23.537348126134535,762,21,717,5,1,11,0,7,0,538,8,509,3,1,11,0,6,0
MARATHON - TOWN OF JOHNSON WARD 1,24.97861403284703,873,11,850,2,0,2,0,7,1,649,10,629,0,0,2,0,7,1
MARATHON - TOWN OF KNOWLTON WARDS 1-3,68.45458803871355,1984,27,1875,10,25,16,0,30,1,1569,16,1496,6,16,12,0,22,1
MARATHON - TOWN OF MARATHON WARD 1,30.000589130254543,974,17,930,1,12,3,0,11,0,778,12,746,0,9,2,0,9,0
MARATHON - TOWN OF MCMILLAN WARDS 1-3,61.52012489727841,2074,41,1918,16,73,9,0,14,3,1534,14,1455,6,41,9,0,7,2
MARATHON - TOWN OF MOSINEE WARDS 1-3,59.86789838566677,2224,30,2099,20,19,26,0,26,4,1773,18,1686,14,15,18,0,20,2
MARATHON - TOWN OF NORRIE WARDS 1-2,29.322445889814844,1010,27,938,1,23,13,0,6,2,801,26,736,0,22,12,0,4,1
MARATHON - TOWN OF PLOVER WARD 1,19.10575841006458,683,11,633,2,5,14,0,18,0,527,4,502,0,3,6,0,12,0
MARATHON - TOWN OF REID WARDS 1-2,28.55063264970144,1186,14,1130,4,7,18,0,9,4,959,9,923,2,6,10,0,7,2
MARATHON - TOWN OF RIB FALLS WARD 1,27.15956946032951,947,6,918,6,5,4,0,8,0,717,5,694,6,4,3,0,5,0
MARATHON - TOWN OF RIETBROCK WARD 1,25.897014022540635,874,17,814,4,7,16,0,14,2,674,13,636,4,4,8,0,9,0
MARATHON - TOWN OF RINGLE WARDS 1-2,41.666632720324245,1743,32,1611,13,43,29,0,15,0,1333,21,1259,5,23,18,0,7,0
MARATHON - TOWN OF SPENCER WARDS 1-2,50.58822164431445,1586,28,1518,10,8,12,0,10,0,1180,15,1140,4,1,12,0,8,0
"MARATHON - TOWN OF STETTIN WARDS 1-2,5",61.80069604477127,2019,27,1865,8,70,19,2,22,6,1547,16,1459,3,38,12,2,14,3
MARATHON - TOWN OF STETTIN WARDS 3-4,206.037904296917,607,12,541,2,33,5,0,8,6,470,7,433,1,19,4,0,5,1
MARATHON - TOWN OF TEXAS WARDS 1-2,36.42492443852971,1611,15,1492,5,56,35,2,3,3,1311,7,1227,3,43,25,2,2,2
MARATHON - TOWN OF WAUSAU WARDS 1-3,71.89823896909884,2312,43,2110,19,98,16,3,19,4,1802,30,1687,7,48,13,1,14,2
MARATHON - TOWN OF WESTON WARD 1,73.51988517318912,625,18,563,3,18,9,0,12,2,483,9,444,3,9,4,0,12,2
MARATHON - TOWN OF WIEN WARD 1,28.088901471556316,885,8,847,1,5,9,0,15,0,602,3,583,0,4,4,0,8,0
MARATHON - VILLAGE OF ATHENS WARDS 1-2,438.5025261083436,1059,71,951,17,6,6,0,6,2,848,42,785,8,0,6,0,6,1
MARATHON - VILLAGE OF BIRNAMWOOD WARD 2,225.6180347642848,14,1,12,0,0,0,0,1,0,13,1,12,0,0,0,0,0,0
MARATHON - VILLAGE OF DORCHESTER WARD 2,30.13181027164423,3,1,2,0,0,0,0,0,0,3,1,2,0,0,0,0,0,0
MARATHON - VILLAGE OF EDGAR WARDS 1-3,801.2003144856058,1439,36,1356,6,4,19,0,18,0,1082,28,1027,0,1,11,0,15,0
MARATHON - VILLAGE OF ELDERON WARD 1,112.17584864401356,126,17,105,0,0,2,0,0,2,111,13,95,0,0,1,0,0,2
MARATHON - VILLAGE OF FENWOOD WARD 1,143.54006189945224,141,4,131,1,0,1,0,4,0,110,1,105,0,0,1,0,3,0
MARATHON - VILLAGE OF HATLEY WARD 1,674.1318824453848,648,13,588,6,6,26,0,8,1,493,3,453,5,4,21,0,6,1
MARATHON - VILLAGE OF KRONENWETTER WARDS 1-5,788.3896454259311,3756,67,3381,19,205,54,0,23,7,2955,39,2733,8,115,38,0,17,5
MARATHON - VILLAGE OF KRONENWETTER WARDS 6-11,98.4334167546338,4597,88,4078,44,260,62,0,51,14,3405,48,3115,25,133,48,0,34,2
MARATHON - VILLAGE OF MAINE WARDS 1-4,60.195902290284,2588,60,2373,22,92,25,0,15,1,2069,32,1929,17,65,13,0,12,1
MARATHON - VILLAGE OF MARATHON CITY WARDS 1-3,509.21730590767373,1597,51,1484,6,31,13,2,7,3,1192,25,1132,0,21,10,2,1,1
MARATHON - VILLAGE OF RIB MOUNTAIN WARDS 1-10,291.8363078008454,7110,118,6292,50,493,73,0,66,18,5540,78,5043,29,292,48,0,41,9
MARATHON - VILLAGE OF ROTHSCHILD WARDS 1-6,856.1726518231103,5567,108,4831,69,389,99,2,52,17,4351,66,3902,33,242,62,2,34,10
MARATHON - VILLAGE OF SPENCER WARDS 1-3,922.1015536751344,1818,61,1724,7,3,13,1,7,2,1396,42,1332,0,1,13,1,6,1
MARATHON - VILLAGE OF STRATFORD WARDS 1-2,300.9854684537925,1581,64,1461,12,10,13,1,19,1,1202,39,1130,9,7,9,0,8,0
MARATHON - VILLAGE OF UNITY WARD 1,354.94473033902426,233,27,193,2,2,4,0,5,0,172,17,145,0,1,4,0,5,0
MARATHON - VILLAGE OF WESTON WARDS 1-10,733.8778397515666,15702,512,12667,286,1803,255,14,147,18,12045,274,10253,159,1057,175,5,114,8
MARINETTE - CITY OF MARINETTE WARDS 1-8,1577.1555803742538,11111,423,9943,184,124,297,6,113,21,8763,294,7948,106,88,222,5,88,12
MARINETTE - CITY OF NIAGARA WARDS 1-3,557.2575337448222,1542,39,1417,11,13,34,0,24,4,1214,25,1133,5,6,26,0,18,1
MARINETTE - CITY OF PESHTIGO WARDS 1-7,1174.278042707681,3420,71,3184,18,41,55,2,47,2,2680,31,2534,7,29,41,0,37,1
MARINETTE - TOWN OF AMBERG WARD 1,9.71835473480571,693,8,662,2,3,9,0,9,0,637,8,608,2,3,9,0,7,0
MARINETTE - TOWN OF ATHELSTANE WARDS 1-2,5.217835092247644,554,2,533,3,1,11,0,3,1,495,1,479,1,0,10,0,3,1
MARINETTE - TOWN OF BEAVER WARDS 1-2,16.784889199110882,1150,83,1017,4,7,25,0,12,2,940,61,842,1,4,22,0,10,0
MARINETTE - TOWN OF BEECHER WARD 1,16.192836300796845,786,18,732,3,2,17,0,12,2,671,11,630,0,1,16,0,12,1
MARINETTE - TOWN OF DUNBAR WARDS 1-2,5.811623655080272,605,14,558,13,2,17,0,1,0,497,11,467,5,2,11,0,1,0
MARINETTE - TOWN OF GOODMAN WARD 1,5.74163065000324,607,4,573,2,5,11,0,10,2,538,3,510,2,4,10,0,8,1
MARINETTE - TOWN OF GROVER WARDS 1-4,23.681258405383915,1731,26,1646,4,9,14,0,31,1,1340,19,1285,3,6,7,0,20,0
MARINETTE - TOWN OF LAKE WARDS 1-2,21.27718529474395,1186,13,1136,2,2,25,0,5,3,960,10,922,2,2,17,0,5,2
MARINETTE - TOWN OF MIDDLE INLET WARDS 1-2,16.86366649026601,851,9,809,7,2,13,0,10,1,709,5,675,6,2,10,0,10,1
MARINETTE - TOWN OF NIAGARA WARD 1,13.57256286690217,912,10,883,4,5,5,0,5,0,747,9,725,2,3,5,0,3,0
MARINETTE - TOWN OF PEMBINE WARDS 1-2,13.219232866022054,877,26,802,7,3,25,0,11,3,698,10,660,1,3,18,0,6,0
MARINETTE - TOWN OF PESHTIGO WARDS 1-2,79.01313002883604,1237,16,1168,6,9,19,0,17,2,1031,13,977,4,7,14,0,15,1
MARINETTE - TOWN OF PESHTIGO WARDS 3-4,44.89908707012529,1344,25,1265,6,3,32,0,12,1,1081,18,1028,4,3,22,0,6,0
MARINETTE - TOWN OF PESHTIGO WARDS 5-6,108.90061664335232,1433,27,1337,16,21,9,3,19,1,1198,15,1133,8,11,9,3,18,1
MARINETTE - TOWN OF PORTERFIELD WARDS 1-4,33.25006306849706,1722,16,1642,9,4,25,0,23,3,1400,11,1342,8,2,16,0,19,2
MARINETTE - TOWN OF POUND WARDS 1-3,28.519720601383263,1412,35,1313,7,8,26,0,21,2,1058,16,1007,3,1,17,0,12,2
MARINETTE - TOWN OF SILVER CLIFF WARD 1,4.864094519301444,514,7,483,1,2,8,0,13,0,471,5,445,1,2,8,0,10,0
MARINETTE - TOWN OF STEPHENSON WARDS 1-3,17.959612658533416,1834,22,1750,7,7,32,0,13,3,1637,12,1577,0,6,29,0,13,0
MARINETTE - TOWN OF STEPHENSON WARDS 4-6,24.72634136064166,1669,28,1578,5,7,36,0,9,6,1358,17,1296,2,6,27,0,9,1
MARINETTE - TOWN OF WAGNER WARD 1,12.273613634831044,653,2,630,3,3,7,0,7,1,561,1,545,3,2,4,0,6,0
MARINETTE - TOWN OF WAUSAUKEE WARDS 1-2,14.491391435727664,1097,13,1063,0,6,4,0,11,0,963,7,940,0,4,3,0,9,0
MARINETTE - VILLAGE OF COLEMAN WARD 1,536.9029719605365,726,50,645,7,7,12,0,4,1,548,27,504,4,0,9,0,3,1
MARINETTE - VILLAGE OF CRIVITZ WARDS 1-2,671.1219739649088,1084,47,965,4,7,21,1,34,5,855,30,775,2,3,17,1,23,4
MARINETTE - VILLAGE OF POUND WARD 1,407.0914255563021,360,29,309,2,2,8,0,8,2,276,21,238,2,2,8,0,3,2
MARINETTE - VILLAGE OF WAUSAUKEE WARD 1,432.9232612824816,596,16,550,4,5,14,0,6,1,451,9,421,4,5,8,0,3,1
MARQUETTE - CITY OF MONTELLO WARDS 1-4,721.8710251446726,1376,38,1250,16,9,36,0,19,8,1126,29,1031,4,9,32,0,17,4
MARQUETTE - TOWN OF BUFFALO WARDS 1-3,28.82562543341154,1389,22,1321,0,8,13,2,20,3,979,12,933,0,8,11,1,13,1
MARQUETTE - TOWN OF CRYSTAL LAKE WARD 1,13.260298740805014,452,7,439,0,0,3,0,2,1,418,4,408,0,0,3,0,2,1
MARQUETTE - TOWN OF DOUGLAS WARD 1,27.50463938553092,784,27,733,4,6,9,0,5,0,650,16,619,1,3,6,0,5,0
MARQUETTE - TOWN OF HARRIS WARD 1,24.715418187225332,748,10,713,7,2,5,0,8,3,650,7,624,4,1,5,0,6,3
MARQUETTE - TOWN OF MECAN WARD 1,27.472460075969597,752,16,709,9,1,10,0,4,3,653,12,628,4,1,8,0,0,0
MARQUETTE - TOWN OF MONTELLO WARDS 1-4,37.52781019676409,1204,31,1122,10,6,14,0,15,6,978,10,930,4,6,12,0,13,3
MARQUETTE - TOWN OF MOUNDVILLE WARDS 1-2,22.732625152320903,518,48,448,4,1,11,0,2,4,404,23,365,3,1,10,0,2,0
MARQUETTE - TOWN OF NESHKORO WARDS 1-2,23.994718650901813,510,5,485,4,3,11,0,0,2,451,4,432,2,3,9,0,0,1
MARQUETTE - TOWN OF NEWTON WARDS 1-2,14.967130773475374,529,9,508,0,3,4,0,3,2,425,9,407,0,3,3,0,2,1
MARQUETTE - TOWN OF OXFORD WARDS 1-2,27.679604213128165,930,32,843,5,7,20,0,17,6,749,19,701,3,2,11,0,9,4
MARQUETTE - TOWN OF PACKWAUKEE WARDS 1-3,39.03877407272879,1469,39,1369,6,8,30,2,13,2,1219,18,1155,3,4,26,2,10,1
MARQUETTE - TOWN OF SHIELDS WARDS 1-2,19.08024848343547,585,16,554,2,2,3,1,5,2,474,6,454,2,2,3,1,4,2
MARQUETTE - TOWN OF SPRINGFIELD WARD 1,23.58772058629706,811,11,770,3,3,11,1,8,4,623,4,599,3,3,6,1,4,3
MARQUETTE - TOWN OF WESTFIELD WARDS 1-2,27.87227729480068,789,26,740,6,5,7,0,2,3,651,17,621,5,2,3,0,2,1
MARQUETTE - VILLAGE OF ENDEAVOR WARD 1,694.0955962945632,440,32,398,1,2,5,1,0,1,328,14,305,1,1,5,1,0,1
MARQUETTE - VILLAGE OF NESHKORO WARD 1,237.15908980230157,467,5,442,8,0,7,0,4,1,383,3,363,7,0,6,0,3,1
MARQUETTE - VILLAGE OF OXFORD WARD 1,631.9493893619417,537,29,485,7,0,5,0,9,2,421,17,396,1,0,3,0,3,1
MARQUETTE - VILLAGE OF WESTFIELD WARDS 1-3,837.2691363232343,1302,85,1148,6,11,35,3,11,3,968,53,861,4,8,26,3,10,3
MENOMINEE - TOWN OF MENOMINEE WARD 2,3.418869572353933,847,13,21,0,1,810,0,0,2,558,10,19,0,1,526,0,0,2
"MENOMINEE - TOWN OF MENOMINEE WARDS 1,3-5",31.054371628550868,3408,123,462,2,5,2788,3,6,19,2335,71,446,2,2,1792,1,6,15
MILWAUKEE - CITY OF CUDAHY WARDS 1-3,7465.213252581448,3542,453,2733,148,71,61,2,50,24,2868,305,2319,91,49,48,2,39,15
MILWAUKEE - CITY OF CUDAHY WARDS 10-12,3440.523645249419,3546,393,2819,139,94,61,0,26,14,2921,255,2430,90,79,40,0,19,8
MILWAUKEE - CITY OF CUDAHY WARDS 13-15,2792.155132833713,3675,498,2854,173,69,45,0,28,8,3091,343,2525,103,54,41,0,21,4
MILWAUKEE - CITY OF CUDAHY WARDS 4-6,7122.151962599267,3756,701,2664,177,78,90,1,28,17,2912,443,2230,96,55,60,1,19,8
MILWAUKEE - CITY OF CUDAHY WARDS 7-9,2614.9931602633387,3685,753,2297,353,99,98,4,49,32,2811,463,1947,200,64,76,4,37,20
MILWAUKEE - CITY OF FRANKLIN WARD 1,461.8662539637799,2095,189,650,1223,16,10,0,2,5,1953,182,564,1183,11,7,0,2,4
MILWAUKEE - CITY OF FRANKLIN WARD 10,2748.24355190964,704,71,485,16,113,12,0,7,0,527,44,366,12,86,12,0,7,0
MILWAUKEE - CITY OF FRANKLIN WARD 11,2318.7997979796887,2393,173,1882,55,230,29,0,18,6,1911,99,1570,39,164,23,0,15,1
MILWAUKEE - CITY OF FRANKLIN WARD 12,1412.8788590997349,1877,115,1480,33,204,19,0,23,3,1482,76,1238,16,121,10,0,21,0
MILWAUKEE - CITY OF FRANKLIN WARD 13,727.9453115820285,868,45,673,38,93,5,0,14,0,683,31,547,31,60,5,0,9,0
MILWAUKEE - CITY OF FRANKLIN WARD 14,3116.047261138579,1806,137,1472,30,146,13,1,3,4,1351,86,1131,20,100,10,1,2,1
MILWAUKEE - CITY OF FRANKLIN WARD 15,369.1104723749263,1620,133,1303,27,109,25,4,14,5,1246,80,1033,19,83,21,0,9,1
MILWAUKEE - CITY OF FRANKLIN WARD 16,2144.4497119072144,2009,123,1623,47,177,23,0,12,4,1505,78,1241,34,118,22,0,8,4
MILWAUKEE - CITY OF FRANKLIN WARD 17,1772.381504756614,1213,67,946,14,158,2,1,24,1,865,37,696,8,109,2,1,12,0
MILWAUKEE - CITY OF FRANKLIN WARD 18,612.6354477963537,1006,63,769,43,117,4,0,3,7,716,46,563,22,77,3,0,1,4
MILWAUKEE - CITY OF FRANKLIN WARD 19,3741.0665738811617,1884,145,1549,27,124,7,1,25,6,1490,72,1283,27,79,6,1,21,1
MILWAUKEE - CITY OF FRANKLIN WARD 2,1053.2954376125506,2050,91,1718,38,166,25,0,12,0,1606,58,1397,23,98,19,0,11,0
MILWAUKEE - CITY OF FRANKLIN WARD 20,1568.4869503732853,1953,140,1489,86,173,29,0,23,13,1637,100,1306,64,120,22,0,18,7
MILWAUKEE - CITY OF FRANKLIN WARD 21,1378.4913451011105,2091,95,1872,25,48,29,0,13,9,1666,49,1541,17,28,20,0,9,2
MILWAUKEE - CITY OF FRANKLIN WARD 22,288.6298357619628,2041,140,1717,28,109,22,0,24,1,1645,98,1421,13,80,19,0,14,0
MILWAUKEE - CITY OF FRANKLIN WARD 3,2197.035159055908,2035,100,1688,27,174,23,0,21,2,1573,59,1359,16,110,9,0,18,2
MILWAUKEE - CITY OF FRANKLIN WARD 4,3024.226637923413,1485,122,1170,32,122,14,1,19,5,1162,77,955,17,79,14,1,14,5
MILWAUKEE - CITY OF FRANKLIN WARD 5,2420.324658688879,1527,62,1369,24,49,16,0,7,0,1333,52,1222,11,32,11,0,5,0
MILWAUKEE - CITY OF FRANKLIN WARD 6,1110.051923317285,1462,56,1192,30,169,10,0,2,3,1235,43,1031,15,134,10,0,1,1
MILWAUKEE - CITY OF FRANKLIN WARD 7,1636.104604884593,1385,37,1203,44,67,14,1,12,7,1124,26,1008,32,36,7,1,10,4
MILWAUKEE - CITY OF FRANKLIN WARD 8,2488.8678994598267,2276,301,1487,108,320,40,0,16,4,1784,194,1243,78,220,33,0,16,0
MILWAUKEE - CITY OF FRANKLIN WARD 9,2599.396244024938,1036,60,764,53,152,4,0,3,0,817,50,626,45,93,2,0,1,0
"MILWAUKEE - CITY OF GLENDALE WARDS 1,7",1471.4100357566208,2176,114,1490,385,153,20,3,8,3,1749,76,1268,257,117,17,3,8,3
"MILWAUKEE - CITY OF GLENDALE WARDS 2,8",2270.8803522947155,2259,108,1714,310,74,14,1,32,6,1901,68,1501,234,52,11,0,31,4
"MILWAUKEE - CITY OF GLENDALE WARDS 3,9",2734.583201044308,2263,122,1580,340,162,29,1,17,12,1873,95,1353,252,132,19,1,12,9
"MILWAUKEE - CITY OF GLENDALE WARDS 4,10",2958.1167676171185,2206,106,1649,310,72,16,3,36,14,1802,67,1392,238,58,15,0,24,8
"MILWAUKEE - CITY OF GLENDALE WARDS 5,11",2901.2996463559966,2254,98,1486,491,123,15,0,26,15,1828,52,1247,381,105,12,0,20,11
"MILWAUKEE - CITY OF GLENDALE WARDS 6,12",2320.550904000415,2138,121,1192,720,52,16,4,23,10,1696,72,988,546,48,11,2,23,6
MILWAUKEE - CITY OF GREENFIELD WARD 1,6401.9389110763605,1946,418,1307,68,81,37,1,22,12,1431,252,1046,31,61,19,1,15,6
MILWAUKEE - CITY OF GREENFIELD WARD 10,3620.746400508328,1222,102,1005,34,47,21,2,8,3,1075,61,921,33,33,15,2,8,2
